ResponseID,ResponseSet,IPAddress,StartDate,EndDate,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalDataReference,Finished,Status,Score-sum,Score-weightedAvg,Score-weightedStdDev,Q1.1_1_TEXT,Q1.1_2_TEXT,Q1.1_3_TEXT,Q1.1_4_TEXT,Q1.1_5_TEXT,Q1.1_6_TEXT,Q1.1_7_TEXT,Q1.2,Q1.3,Q1.4,Q2.1,Q2.2_1,Q2.2_2,Q2.2_3,Q2.2_4,Q2.3,Q2.4,Q2.5,Q2.6,Q2.7_1,Q2.7_2,Q2.7_3,Q2.7_4,Q2.8,Q2.9_1,Q2.10,Q3.1,Q3.2_1,Q3.2_2,Q3.2_3,Q3.2_4,Q3.3,Q3.4,Q3.5_1,Q3.5_2,Q3.5_3,Q3.5_4,Q3.6,Q3.7,Q3.8_1,Q3.8_2,Q3.8_3,Q3.8_4,Q3.9,Q3.10,Q4.1,Q4.2_1,Q4.2_2,Q4.2_3,Q4.2_4,Q4.3,Q4.4,Q4.5,Q4.6_1,Q4.6_2,Q4.6_3,Q4.6_4,Q4.7,Q4.8,Q4.9,Q5.1,Q5.2_1,Q5.2_2,Q5.2_3,Q5.2_4,Q5.3,Q5.4,Q5.5_1,Q5.5_2,Q5.5_3,Q5.5_4,Q5.6,Q5.7,Q5.8_1,Q5.8_2,Q5.8_3,Q5.8_4,Q5.9,Q5.10,Q6.1,Q6.2_1,Q6.2_2,Q6.2_3,Q6.2_4,Q6.3,Q6.4,Q6.5,Q6.6_1,Q6.6_2,Q6.6_3,Q6.6_4,Q6.7,Q6.8,Q6.9,Q7.1,Q7.2_1,Q7.2_2,Q7.2_3,Q7.2_4,Q7.3,Q7.4,Q7.5_1,Q7.5_2,Q7.5_3,Q7.5_4,Q7.6,Q7.7,Q7.8_1,Q7.8_2,Q7.8_3,Q7.8_4,Q7.9,Q7.10,Q7.11_1,Q7.11_2,Q7.11_3,Q7.11_4,Q7.12,Q7.13,Q7.14_1,Q7.14_2,Q7.14_3,Q7.14_4,Q7.15,Q7.16,LocationLatitude,LocationLongitude,LocationAccuracy
ResponseID,ResponseSet,IPAddress,StartDate,EndDate,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalDataReference,Finished,Status,Score-sum,Score-weightedAvg,Score-weightedStdDev,Browser Meta Info-Browser,Browser Meta Info-Version,Browser Meta Info-Operating System,Browser Meta Info-Screen Resolution,Browser Meta Info-Flash Version,Browser Meta Info-Java Support,Browser Meta Info-User Agent,Tree Terminology\\ This survey uses basic tree terminology. Some of these terms\ are provided for...,Visualization Basics\\ This survey will ask you to interpret the following\ visualization:,All nodes are represented by circles. The\ root node in this visualization is outlined in\ white...,"The following questions will help you learn how to interpret this\ visualization. Click ""Toggle H...",Timing-First Click,Timing-Last Click,Timing-Page Submit,Timing-Click Count,"[ Toggle\ Help ]\\ \ If node A connects to node B, then node A is considered the\ parent of node...",${q://QID108/QuestionText},Is the highlighted cluster (including leaves) mostly positive or\ mostly negative?,Try to determine if the leaves in the cluster are more green\(positive) or more purple (negative)...,Timing-First Click,Timing-Last Click,Timing-Page Submit,Timing-Click Count,${q://QID108/QuestionText},What is the height of the tree?-Height,Make sure you are accounting for the root and leaf nodes in\the height.,The following questions will help us learn which tasks are\ difficult or time consuming when usin...,Timing-First Click,Timing-Last Click,Timing-Page Submit,Timing-Click Count,${q://QID108/QuestionText},Which of the highlighted elements has the highest value?,Timing-First Click,Timing-Last Click,Timing-Page Submit,Timing-Click Count,${q://QID108/QuestionText},Is the highlighted cluster (including leaves) mostly positive or\ mostly negative?,Timing-First Click,Timing-Last Click,Timing-Page Submit,Timing-Click Count,${q://QID108/QuestionText},What is the height of the tree?,"The following questions will help you learn how to interpret this\ visualization. Click ""Toggle H...",Timing-First Click,Timing-Last Click,Timing-Page Submit,Timing-Click Count,${q://QID108/QuestionText},Which of the highlighted elements is furthest away from the root?,Choose the leaf with the most edges from it to the\root.,Timing-First Click,Timing-Last Click,Timing-Page Submit,Timing-Click Count,${q://QID108/QuestionText},Which of the highlighted elements are siblings?,Choose elements that have the same parent.,The following questions will help us learn which tasks are\ difficult or time consuming when usin...,Timing-First Click,Timing-Last Click,Timing-Page Submit,Timing-Click Count,${q://QID108/QuestionText},Which of the highlighted elements is furthest away from the root?,Timing-First Click,Timing-Last Click,Timing-Page Submit,Timing-Click Count,${q://QID108/QuestionText},Which of the highlighted elements is furthest away from the root?,Timing-First Click,Timing-Last Click,Timing-Page Submit,Timing-Click Count,${q://QID108/QuestionText},Which of the highlighted elements are siblings?,"The following questions will help you learn how to interpret this\ visualization. Click ""Toggle H...",Timing-First Click,Timing-Last Click,Timing-Page Submit,Timing-Click Count,${q://QID108/QuestionText},Which two of the highlighted elements are more closely clustered?,"Find the cluster that contains each pair, and choose the\cluster furthest from the root.",Timing-First Click,Timing-Last Click,Timing-Page Submit,Timing-Click Count,${q://QID108/QuestionText},How many visually distinct clusters do you see in this\visualization?,"If you had to divide this data into clusters or groups based\on this visualization, how many woul...",The following questions will help us learn which tasks are\ difficult or time consuming when usin...,Timing-First Click,Timing-Last Click,Timing-Page Submit,Timing-Click Count,${q://QID108/QuestionText},Which two of the highlighted elements are more closely clustered?,Timing-First Click,Timing-Last Click,Timing-Page Submit,Timing-Click Count,${q://QID108/QuestionText},Which two of the highlighted elements are more closely clustered?,Timing-First Click,Timing-Last Click,Timing-Page Submit,Timing-Click Count,${q://QID108/QuestionText},Which two of the highlighted elements are more closely clustered?,Timing-First Click,Timing-Last Click,Timing-Page Submit,Timing-Click Count,${q://QID108/QuestionText},Which of the highlighted elements is least similar to its neighbors?,Timing-First Click,Timing-Last Click,Timing-Page Submit,Timing-Click Count,${q://QID108/QuestionText},How many visually distinct clusters do you see in this\visualization?,LocationLatitude,LocationLongitude,LocationAccuracy
{'ImportId': 'responseId'},{'ImportId': 'responseSetId'},{'ImportId': 'ipAddress'},{'ImportId': 'startDate'},{'ImportId': 'endDate'},{'ImportId': 'panel-RecipientLastName'},{'ImportId': 'panel-RecipientFirstName'},{'ImportId': 'panel-RecipientEmail'},{'ImportId': 'panel-ExternalDataReference'},{'ImportId': 'finished'},{'ImportId': 'status'},{'ImportId': 'SC_0c7tQ3VfE2ctDM1-sum'},{'ImportId': 'SC_0c7tQ3VfE2ctDM1-weightedAvg'},{'ImportId': 'SC_0c7tQ3VfE2ctDM1-weightedStdDev'},{'ImportId': 'QID4-1-TEXT'},{'ImportId': 'QID4-2-TEXT'},{'ImportId': 'QID4-3-TEXT'},{'ImportId': 'QID4-4-TEXT'},{'ImportId': 'QID4-5-TEXT'},{'ImportId': 'QID4-6-TEXT'},{'ImportId': 'QID4-7-TEXT'},{'ImportId': 'QID76'},{'ImportId': 'QID9'},{'ImportId': 'QID77'},{'ImportId': 'QID106'},{'ImportId': 'QID156-1'},{'ImportId': 'QID156-2'},{'ImportId': 'QID156-3'},{'ImportId': 'QID156-4'},{'ImportId': 'QID108'},{'ImportId': 'QID113'},{'ImportId': 'QID114'},{'ImportId': 'QID155'},{'ImportId': 'QID158-1'},{'ImportId': 'QID158-2'},{'ImportId': 'QID158-3'},{'ImportId': 'QID158-4'},{'ImportId': 'QID117'},{'ImportId': 'QID118-1'},{'ImportId': 'QID159'},{'ImportId': 'QID18'},{'ImportId': 'QID78-1'},{'ImportId': 'QID78-2'},{'ImportId': 'QID78-3'},{'ImportId': 'QID78-4'},{'ImportId': 'QID20'},{'ImportId': 'QID21'},{'ImportId': 'QID79-1'},{'ImportId': 'QID79-2'},{'ImportId': 'QID79-3'},{'ImportId': 'QID79-4'},{'ImportId': 'QID17'},{'ImportId': 'QID15'},{'ImportId': 'QID82-1'},{'ImportId': 'QID82-2'},{'ImportId': 'QID82-3'},{'ImportId': 'QID82-4'},{'ImportId': 'QID23'},{'ImportId': 'QID24'},{'ImportId': 'QID169'},{'ImportId': 'QID162-1'},{'ImportId': 'QID162-2'},{'ImportId': 'QID162-3'},{'ImportId': 'QID162-4'},{'ImportId': 'QID131'},{'ImportId': 'QID132'},{'ImportId': 'QID163'},{'ImportId': 'QID161-1'},{'ImportId': 'QID161-2'},{'ImportId': 'QID161-3'},{'ImportId': 'QID161-4'},{'ImportId': 'QID129'},{'ImportId': 'QID130'},{'ImportId': 'QID160'},{'ImportId': 'QID170'},{'ImportId': 'QID25-1'},{'ImportId': 'QID25-2'},{'ImportId': 'QID25-3'},{'ImportId': 'QID25-4'},{'ImportId': 'QID28'},{'ImportId': 'QID29'},{'ImportId': 'QID36-1'},{'ImportId': 'QID36-2'},{'ImportId': 'QID36-3'},{'ImportId': 'QID36-4'},{'ImportId': 'QID34'},{'ImportId': 'QID35'},{'ImportId': 'QID42-1'},{'ImportId': 'QID42-2'},{'ImportId': 'QID42-3'},{'ImportId': 'QID42-4'},{'ImportId': 'QID40'},{'ImportId': 'QID41'},{'ImportId': 'QID133'},{'ImportId': 'QID165-1'},{'ImportId': 'QID165-2'},{'ImportId': 'QID165-3'},{'ImportId': 'QID165-4'},{'ImportId': 'QID141'},{'ImportId': 'QID142'},{'ImportId': 'QID166'},{'ImportId': 'QID167-1'},{'ImportId': 'QID167-2'},{'ImportId': 'QID167-3'},{'ImportId': 'QID167-4'},{'ImportId': 'QID150'},{'ImportId': 'QID151'},{'ImportId': 'QID168'},{'ImportId': 'QID43'},{'ImportId': 'QID44-1'},{'ImportId': 'QID44-2'},{'ImportId': 'QID44-3'},{'ImportId': 'QID44-4'},{'ImportId': 'QID45'},{'ImportId': 'QID46'},{'ImportId': 'QID54-1'},{'ImportId': 'QID54-2'},{'ImportId': 'QID54-3'},{'ImportId': 'QID54-4'},{'ImportId': 'QID52'},{'ImportId': 'QID53'},{'ImportId': 'QID61-1'},{'ImportId': 'QID61-2'},{'ImportId': 'QID61-3'},{'ImportId': 'QID61-4'},{'ImportId': 'QID62'},{'ImportId': 'QID58'},{'ImportId': 'QID60-1'},{'ImportId': 'QID60-2'},{'ImportId': 'QID60-3'},{'ImportId': 'QID60-4'},{'ImportId': 'QID59'},{'ImportId': 'QID63'},{'ImportId': 'QID67-1'},{'ImportId': 'QID67-2'},{'ImportId': 'QID67-3'},{'ImportId': 'QID67-4'},{'ImportId': 'QID68'},{'ImportId': 'QID69'},{'ImportId': 'Location-LocationLatitude'},{'ImportId': 'Location-LocationLongitude'},{'ImportId': 'Location-LocationAccuracy'}
R_2rwKPAvlzgDicMW,Default Response Set,,2015-03-29 17:22:22,2015-03-29 17:27:38,,,,,1,0,8,1.0,0.0,Firefox,36.0,Windows NT 6.1,1920x1080,15.0.0,,Mozilla/5.0 (Windows NT 6.1; WOW64; rv:36.0) Gecko/20100101 Firefox/36.0,1,1,1,1,9.34,19.794,21.21,4,1,1,Mostly Positive,,8.742,29.253,29.703,5,1,6,1,1,12.259,12.259,14.644,1,1,"(4, 1)",3.878,3.878,4.714,1,1,<em>Unsure</em>,7.55,9.268,10.46,2,1,10,1,5.189,6.488,6.882,2,1,"(3, 6)",,14.926,16.477,18.182,2,1,"(1, 3) and (2, 2)",,1,10.087,12.379,13.769,4,1,"(1, 5)",10.224,10.224,12.04,1,1,S,10.096,10.096,10.908,1,1,S and V,1,11.561,13.293,15.218,2,1,<em>Unsure</em>,1,5.752,6.983,8.065,2,1,4,1,1,10.01,10.01,11.477,1,1,"(3, 9) and (6, 8)",7.233,7.233,8.356,1,1,"(4, 1) and (5, 13)",6.575,7.125,8.214,2,1,"C, S",7.349,7.349,9.88,1,1,L,6.636,8.86,10.034,3,1,11,,,-1
R_3iR1wvh2btgDx7J,Default Response Set,,2015-03-29 17:25:44,2015-03-29 17:32:19,,,,,1,0,8,1.0,0.0,Chrome,41.0.2272.101,Windows NT 6.3,1600x900,17.0.0,Browser,"Mozilla/5.0 (Windows NT 6.3; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/41.0.2272.101 Safari/537.36",1,1,1,1,13.573,22.702,23.609,2,1,1,Mostly Positive,,8.631,8.631,65.865,1,1,4,,1,5.517,26.068,26.797,2,1,<em>Unsure</em>,18.331,18.331,19.111,1,1,Mostly Negative,2.316,23.494,24.195,3,1,7,1,6.468,6.468,7.415,1,1,"(3, 6)",,10.375,10.375,11.363,1,1,"(1, 3) and (2, 2)",,1,11.361,12.459,13.724,4,1,"(1, 5)",8.077,8.077,9.316,1,1,S,9.679,9.679,11.074,1,1,K and S,1,13.95,13.95,15.105,1,1,C and H,1,5.504,7.52,9.261,3,1,4,1,1,9.565,9.565,10.687,1,1,"(3, 9) and (6, 8)",18.696,18.696,19.581,1,1,<em>Unsure</em>,9.744,32.841,33.831,3,1,"K, S",15.617,15.617,16.891,1,1,L,10.074,11.724,12.636,2,1,11,,,-1
R_5jsiRPWsxpTmS6l,Default Response Set,,2015-03-29 17:30:58,2015-03-29 17:33:46,,,,,1,0,6,1.0,0.0,Chrome,41.0.2272.101,Windows NT 6.3,1366x768,17.0.0,Browser,"Mozilla/5.0 (Windows NT 6.3; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/41.0.2272.101 Safari/537.36",1,1,1,1,5.709,6.571,7.849,2,1,1,Mostly Positive,,0,0,4.004,0,1,5,1,1,7.141,7.141,7.775,1,1,"(5, 13)",4.067,4.067,4.603,1,1,<em>Unsure</em>,2.485,4.467,5.341,2,1,7,1,2.185,9.771,11.374,3,1,"(3, 0)",1,10.175,11.622,12.272,3,1,"(0, 4) and (2, 2)",1,1,5.244,5.244,5.98,1,1,"(5, 13)",2.773,2.773,3.59,1,1,C,3.377,3.377,4.129,1,1,S and V,1,5.792,6.549,7.939,2,1,C and F,1,1.525,3.284,4.785,2,1,4,1,1,4.464,4.464,5.314,1,1,"(3, 9) and (6, 8)",5.283,5.283,6.991,1,1,"(1, 5) and (5, 13)",3.943,4.725,5.071,2,1,"C, S",5.999,5.999,6.791,1,1,O,1.673,8.494,9.233,2,1,11,,,-1
R_Qcz563ZDciRh09b,Default Response Set,,2015-03-29 17:36:01,2015-03-29 17:44:34,,,,,1,0,10,1.0,0.0,Chrome,41.0.2272.101,Windows NT 6.3,1440x900,17.0.0,Browser,"Mozilla/5.0 (Windows NT 6.3; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/41.0.2272.101 Safari/537.36",1,1,1,1,13.42,13.42,17.566,1,1,1,Mostly Positive,,5.552,31.928,53.265,2,1,4,,1,9.404,48.596,50.269,5,1,"(4, 1)",25.358,25.358,27.617,1,1,Mostly Positive,23.606,25.311,26.391,2,1,7,1,7.809,7.809,9.411,1,1,"(3, 6)",,30.665,30.665,35.427,1,1,"(1, 3) and (2, 2)",,1,8.093,8.093,9.438,1,1,"(1, 5)",10.214,10.214,11.133,1,1,S,10.756,10.756,12.132,1,1,S and V,1,15.9,15.9,17.053,1,1,C and H,1,14.87,17.055,18.168,2,1,4,1,1,13.859,13.859,15.074,1,1,"(1, 7) and (6, 8)",19.931,19.931,21.074,1,1,"(4, 1) and (5, 13)",7.048,7.048,7.942,1,1,"C, K",13.634,13.634,14.947,1,1,O,6.248,8.2,9.096,2,1,11,,,-1
R_Rb1jQ8zWn30hRYd,Default Response Set,,2015-03-29 17:47:41,2015-03-29 17:51:39,,,,,1,0,10,1.0,0.0,Chrome,41.0.2272.101,Windows NT 6.3,1366x768,17.0.0,Browser,"Mozilla/5.0 (Windows NT 6.3; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/41.0.2272.101 Safari/537.36",1,1,1,1,2.53,3.837,4.686,2,1,1,Mostly Positive,,21.908,29.263,31.762,7,1,4,,1,4.6,4.6,5.303,1,1,"(5, 13)",8.961,8.961,9.854,1,1,Mostly Positive,6.17,7.801,9.083,2,1,4,1,6.308,6.308,7.201,1,1,"(3, 6)",,4.994,4.994,6.213,1,1,"(1, 3) and (2, 2)",,1,11.701,11.701,12.865,1,1,"(1, 5)",4.866,4.866,6.674,1,1,S,9.413,9.413,10.921,1,1,S and V,1,12.79,15.217,18.293,2,1,F and H,,3.123,8.474,9.957,2,1,4,1,1,4.094,4.094,5.578,1,1,"(3, 9) and (6, 8)",5.974,5.974,7.238,1,1,"(4, 1) and (5, 13)",5.971,5.971,6.815,1,1,"C, K",15.874,15.874,17.724,1,1,O,9.675,11.157,12.301,2,1,11,,,-1
R_VVboJ3CbJYhkhq1,Default Response Set,,2015-03-29 17:47:56,2015-03-29 17:54:08,,,,,1,0,7,1.0,0.0,Chrome,41.0.2272.101,Windows NT 6.3,1366x768,17.0.0,Browser,"Mozilla/5.0 (Windows NT 6.3; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/41.0.2272.101 Safari/537.36",1,1,1,1,1.622,12.521,13.432,5,1,1,Mostly Positive,,1.455,14.278,31.527,4,1,5,1,1,7.659,7.659,9.071,1,1,"(1, 5)",2.977,12.644,13.918,3,1,Mostly Positive,13.084,14.587,15.492,2,1,9,1,1.457,31.337,39.653,13,1,"(3, 6)",,2.039,12.373,13.248,6,1,"(1, 3) and (2, 2)",,1,2.084,7.662,8.861,2,1,"(1, 5)",3.118,3.118,6.845,1,1,K,6.224,9.904,11.296,2,1,K and S,1,15.546,23.072,27.584,4,1,F and H,,4.367,6.931,8.112,3,1,4,1,1,4.288,4.288,5.38,1,1,"(3, 9) and (6, 8)",21.56,21.56,22.774,1,1,"(4, 1) and (5, 13)",10.815,10.815,11.987,1,1,"C, K",5.174,5.174,6.258,1,1,L,8.712,8.712,11.834,1,1,17,,,-1
R_2xLYX7QMXh6YYwN,Default Response Set,,2015-03-29 17:38:16,2015-03-29 17:55:17,,,,,1,0,9,1.0,0.0,Firefox,36.0,Windows NT 6.1,1024x819,17.0.0,Browser,Mozilla/5.0 (Windows NT 6.1; WOW64; rv:36.0) Gecko/20100101 Firefox/36.0,1,1,1,1,8.746,420.064,426.106,44,1,1,Mostly Positive,,0,0,21.33,0,1,4,,1,11.112,11.112,14.426,1,1,"(5, 13)",12.063,12.063,14.195,1,1,Mostly Positive,7.37,11.978,13.773,2,1,3,1,11.583,11.583,14.081,1,1,"(3, 6)",,16.354,28.889,31.518,3,1,"(1, 3) and (2, 2)",,1,9.771,9.771,12.625,1,1,"(1, 5)",11.763,11.763,13.639,1,1,S,26.687,26.687,28.71,1,1,K and S,1,30.114,46.394,50.816,2,1,F and H,,16.293,28.236,30.455,5,1,3,1,1,23.488,23.488,25.529,1,1,"(3, 9) and (6, 8)",27.384,27.384,30.525,1,1,"(4, 1) and (5, 13)",22.685,22.685,25.527,1,1,"C, K",11.497,11.497,13.219,1,1,O,6.313,26.088,27.79,2,1,5,,,-1
R_2OTNvB3sZZRwCus,Default Response Set,,2015-03-29 17:48:23,2015-03-29 17:56:07,,,,,1,0,6,1.0,0.0,Firefox,36.0,Windows NT 6.1,1366x768,17.0.0,Browser,Mozilla/5.0 (Windows NT 6.1; WOW64; rv:36.0) Gecko/20100101 Firefox/36.0,1,1,1,1,15.957,17.946,19.095,2,1,1,Mostly Positive,,14.152,14.152,15.303,1,1,3,1,1,9.02,10.366,11.666,2,1,"(5, 13)",15.634,18.087,19.095,2,1,Mostly Negative,12.018,15.198,16.419,3,1,4,1,9.849,11.082,12.208,2,1,"(0, 2)",1,7.623,8.756,9.873,2,1,"(1, 3) and (2, 2)",,1,18.091,19.22,20.326,2,1,"(1, 5)",13.818,15.773,16.865,3,1,S,11.894,13.776,15.229,2,1,S and V,1,8.154,11.034,13.392,2,1,C and H,1,5.369,7.798,9.121,3,1,4,1,1,10.842,10.842,12.648,1,1,"(3, 9) and (6, 8)",16.238,18.368,19.738,2,1,"(4, 1) and (5, 13)",7.379,20.832,22.221,3,1,"C, K",12.887,14.414,15.582,2,1,L,13.925,15.938,17.238,2,1,11,,,-1
R_xfvh8oC2Ead2P85,Default Response Set,,2015-03-29 17:46:25,2015-03-29 17:58:34,,,,,1,0,9,1.0,0.0,Chrome,41.0.2272.101,Windows NT 6.1,1366x768,17.0.0,Browser,"Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/41.0.2272.101 Safari/537.36",1,1,1,1,19.886,41.854,46.012,3,1,1,Mostly Positive,,18.347,100.5,103.826,9,1,2,1,1,18.386,18.386,19.778,1,1,"(5, 13)",26.99,26.99,28.083,1,1,Mostly Positive,31.959,31.959,36.585,1,1,9,1,19.307,19.307,21.852,1,1,"(3, 6)",,21.786,36.033,39.72,2,1,"(1, 3) and (2, 2)",,1,11.885,11.885,13.306,1,1,"(1, 5)",17.046,17.046,18.442,1,1,S,51.291,51.291,52.526,1,1,S and V,1,21.453,21.453,27.546,1,1,C and H,1,8.947,12.488,18.263,2,1,4,1,1,6.606,18.222,19.513,2,1,"(3, 9) and (6, 8)",39.582,65.95,69.342,4,1,"(1, 5) and (4, 1)",24.683,28.831,31.196,2,1,"C, K",21.56,23.778,27.442,2,1,O,4.387,26.85,28.442,5,1,11,,,-1
R_2QPtiqz6lvpshEC,Default Response Set,,2015-03-29 17:54:35,2015-03-29 17:58:47,,,,,1,0,6,1.0,0.0,Chrome,41.0.2272.101,Windows NT 6.1,1920x1080,17.0.0,Browser,"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/41.0.2272.101 Safari/537.36",1,1,1,1,7.018,7.018,8.256,1,1,1,Mostly Positive,,0,0,12.72,0,1,6,1,1,13.495,13.495,16.454,1,1,"(1, 5)",7.829,12.669,13.512,2,1,Mostly Positive,10.219,10.219,12.757,1,1,7,1,9.027,9.027,16.142,1,1,"(3, 0)",1,7.461,7.461,8.783,1,1,"(1, 3) and (2, 2)",,1,5.445,5.445,6.393,1,1,"(5, 13)",6.451,6.451,7.182,1,1,K,8.833,8.833,9.904,1,1,S and V,1,9.771,10.731,15.039,2,1,C and H,1,3.614,3.614,6.306,1,1,4,1,1,7.414,7.414,8.314,1,1,"(3, 9) and (6, 8)",4.025,4.025,5.7,1,1,"(4, 1) and (5, 13)",3.918,3.918,5.068,1,1,"C, S",4.316,4.316,5.615,1,1,T,8.571,8.571,10.75,1,1,12,,,-1
R_3qHD0hrlWxtB75e,Default Response Set,,2015-03-29 18:02:35,2015-03-29 18:08:25,,,,,1,0,4,1.0,0.0,Chrome,41.0.2272.101,Windows NT 6.3,1600x900,17.0.0,Browser,"Mozilla/5.0 (Windows NT 6.3; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/41.0.2272.101 Safari/537.36",1,1,1,1,26.243,38.251,39.443,2,1,1,Mostly Positive,,20.115,20.115,22.123,1,1,4,,1,4.171,5.406,6.27,3,1,"(4, 1)",12.283,12.283,13.001,1,1,Mostly Negative,7.414,8.664,9.249,2,1,5,1,1.23,7.99,10.365,3,1,"(3, 0)",1,22.455,27.265,28.232,3,1,"(0, 4) and (2, 2)",1,1,6.6,7.889,9.022,2,1,"(4, 1)",11.23,11.23,11.93,1,1,K,3.836,3.836,4.882,1,1,S and V,1,3.204,3.204,4.586,1,1,C and F,1,9.276,14.36,15.126,3,1,3,1,1,17.957,17.957,18.942,1,1,"(3, 9) and (6, 8)",4.393,4.393,5.348,1,1,"(4, 1) and (5, 13)",6.567,6.567,7.51,1,1,"C, S",17.797,17.797,18.494,1,1,T,6.723,7.942,8.617,2,1,4,,,-1
